,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
193,"LA LIBERTAD, TRUJILLO, HUANCHACO",3,0,-1
194,"LA LIBERTAD, TRUJILLO, LA ESPERANZA",3,0,22
195,"LA LIBERTAD, TRUJILLO, LAREDO",0,0,0
196,"LA LIBERTAD, TRUJILLO, MOCHE",3,0,-1
197,"LA LIBERTAD, TRUJILLO, SALAVERRY",3,0,-1
198,"LA LIBERTAD, TRUJILLO, TRUJILLO",3,0,-1
199,"LA LIBERTAD, TRUJILLO, VICTOR LARCO HERRERA",3,0,-1
200,"LA LIBERTAD, VIRU, CHAO",3,0,10
201,"LA LIBERTAD, VIRU, GUADALUPITO",3,0,3
202,"LA LIBERTAD, VIRU, VIRU",3,0,-1
203,"LAMBAYEQUE, CHICLAYO, CAYALTI",3,0,-1
204,"LAMBAYEQUE, CHICLAYO, CHICLAYO",3,0,-1
205,"LAMBAYEQUE, CHICLAYO, CHONGOYAPE",3,0,-1
206,"LAMBAYEQUE, CHICLAYO, JOSE LEONARDO ORTIZ",3,0,-1
207,"LAMBAYEQUE, CHICLAYO, LA VICTORIA",3,0,-1
208,"LAMBAYEQUE, CHICLAYO, LAGUNAS",3,0,1
209,"LAMBAYEQUE, CHICLAYO, MONSEFU",3,0,-1
210,"LAMBAYEQUE, CHICLAYO, OYOTUN",3,0,-1
211,"LAMBAYEQUE, CHICLAYO, PATAPO",3,0,-1
212,"LAMBAYEQUE, CHICLAYO, PICSI",3,0,1
213,"LAMBAYEQUE, CHICLAYO, PIMENTEL",3,0,10
214,"LAMBAYEQUE, CHICLAYO, POMALCA",3,0,3
215,"LAMBAYEQUE, CHICLAYO, PUCALA",3,0,-1
216,"LAMBAYEQUE, CHICLAYO, REQUE",3,0,-1
217,"LAMBAYEQUE, CHICLAYO, SAÑA",3,0,-1
218,"LAMBAYEQUE, CHICLAYO, TUMAN",3,0,22
219,"LAMBAYEQUE, FERREÑAFE, FERREÑAFE",3,0,7
220,"LAMBAYEQUE, FERREÑAFE, MANUEL ANTONIO MESONES MURO",3,0,12
221,"LAMBAYEQUE, FERREÑAFE, PITIPO",3,0,-1
222,"LAMBAYEQUE, FERREÑAFE, PUEBLO NUEVO",3,0,-1
223,"LAMBAYEQUE, LAMBAYEQUE, CHOCHOPE",3,0,-1
224,"LAMBAYEQUE, LAMBAYEQUE, ILLIMO",3,0,-1
225,"LAMBAYEQUE, LAMBAYEQUE, JAYANCA",3,0,-1
226,"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",3,0,-1
227,"LAMBAYEQUE, LAMBAYEQUE, MOCHUMI",3,0,-1
228,"LAMBAYEQUE, LAMBAYEQUE, MORROPE",3,0,-1
229,"LAMBAYEQUE, LAMBAYEQUE, MOTUPE",3,0,0
230,"LAMBAYEQUE, LAMBAYEQUE, OLMOS",3,0,24
231,"LAMBAYEQUE, LAMBAYEQUE, PACORA",3,0,-1
232,"LAMBAYEQUE, LAMBAYEQUE, SALAS",3,0,-1
