Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
VILLARRICA,21.542761011261,843.2326491229297,0.8387018020583641,0.9104755262146746,0.0059849037017656115,-0.9408904266269718,0.022647690920714836,1.0,-0.008952234323716246,0.24729027798118067,0.00043603657022141533,9.598580457873439e-09,0.17991277984379664,0.012913836347433207,115.0,8.0,1e-10,1e-10
ALBERDI,25.93571561285461,424.0084839610445,0.14092789762630134,0.814141752964654,0.001960325839895126,-0.5655165549761437,0.020467046429850755,1e-07,-0.0045559364257648114,1.2992829841302609,0.0004327049453889848,6.909503699898578e-09,1e-07,1e-07,175.0,3.0,1e-10,1e-10
CAMBYRETA,4.017561081910941,4.92273134468201,0.3088417870554933,0.8603218995735057,0.005625479113459188,-1.4681417775345051,0.02848931837003399,1.0,-0.01220930533711186,0.5897688261061101,0.000591107426850163,9.362663508518337e-09,0.19999999999926021,0.013333333333234719,154.0,12.0,1e-10,1e-10
NATALIO,5.192266328011899,2.000377678738073,-0.13740284640765071,0.9292077725775981,0.0018488481605081354,-0.5574988810596615,0.019355916094550896,1e-07,-0.006508768355947127,0.7419373447293773,0.0002772955219953872,2.8350992106634248e-09,1e-07,1e-07,184.0,3.0,1e-10,1e-10
NUEVA ALBORADA,13.329410985168444,0.030617279918011817,-0.9999999999999999,0.9215812166619686,0.00020346193094605158,-0.06306287102680952,0.01253986987426925,1e-07,-0.005123977105805429,1e-08,0.0020406177694015136,2.4459880579089674e-09,1e-07,1e-07,192.0,1.0,1e-10,1e-10
OBLIGADO,6.764137953832148,0.04156692548990647,0.7162116572531763,0.9623792183103331,0.0023483702092199207,-0.7147698616968123,0.02162369889206095,1e-07,-0.007166561217011511,1e-08,6.973307563292352e-66,3.795582903841541e-09,1e-07,1e-07,186.0,1.0,1e-10,1e-10
SAN JUAN BAUTISTA,18.32559883562404,184.24842560003356,0.00762159888000975,0.6905607936053584,0.005097942866814941,-1.2211240086975659,0.028352740099524487,1e-07,-0.023795008162037765,0.7926767759069784,0.0016298713920290932,3.6200002371033095e-08,0.14285714285701456,0.0068027210884231545,145.0,10.0,1e-10,1e-10
SANTA RITA,5.8792455830776795,18.48509663962757,-0.13317824875676534,0.7345660897133648,0.0016677319764528678,-0.4911840100500843,0.011834924929566282,1.0,-0.0052719957767918225,0.496436886313891,0.0009287256139741757,1.7939998641346825e-08,1e-07,1e-07,177.0,2.0,1e-10,1e-10
TOBATI,13.264529663461532,198.39349955547934,0.6180658806029552,0.8380903245735736,0.0038839778875090192,-0.9626144944835928,0.005873575101282502,1.0,-0.0060942077351744,1.270462545594769,0.0004004969425046234,6.259184285849772e-09,0.08333333333318181,0.004886831275714127,150.0,8.0,1e-10,1e-10
MBOCAYATY,19.97459446824266,258.6365191178099,-0.07736906402079141,0.6539649222911175,0.0020116087743592276,-0.5859582218594587,0.008590658574022636,1e-07,-0.009142256231943173,0.496436886313891,0.00079057970110108,1.9438491138145296e-08,1e-07,1e-07,174.0,4.0,1e-10,1e-10
PIRAPO,15.98178839866639,31.37972076262616,-0.6947063642156805,0.8928843795718492,0.0010802782869306746,-0.3312695758344524,0.028102668778079543,1e-07,-0.007929320327143006,0.6931471805599453,0.00026344309264433305,4.472456541874239e-09,1e-07,1e-07,188.0,3.0,1e-10,1e-10
