,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
74,MBOCAYATY,22.92915061650134,396.3131127584544,-0.12390610627636503,0.6075477944604231,0.003636969639943914,-0.5127738731161443,0.03022102900871182,1e-07,-0.01847409030457767,1.2039728043259361,0.0015068909671930614,1.3431606405350394e-07,0.16666666666655627,0.009259259259246993,88.0,4.0,1e-10,1e-10
75,PIRAPO,15.208952754578224,28.210431730403243,-0.533780624139637,0.9660586107219543,0.0014775000699990578,-0.21660005920356643,0.03523807972834658,1e-07,-0.005671798825692829,1e-08,0.0002936528322875259,1.316442723656426e-09,1e-07,1e-07,95.0,1.0,1e-10,1e-10
76,SAPUCAI,22.64238210659921,56.604798346366145,-0.6009405384606903,0.9020414126297451,0.0037331584988108757,-0.5426265796186243,0.03508230175328109,1e-07,-0.015648657981034913,1e-08,0.0005304783950617285,3.2054109423891255e-08,1e-07,1e-07,93.0,3.0,1e-10,1e-10
77,TACUATI,14.134926410459887,0.031932610101220005,0.3336266164704604,0.9364389924155421,0.003646639087095978,-0.5319314636798678,0.042349864091686173,1e-07,-0.015555803657141183,1e-08,3.143166484843393e-10,3.192260366843964e-08,1e-07,1e-07,94.0,1.0,1e-10,1e-10
78,CAAZAPA,6.573999397581246,24.109187838553773,-0.01836037320462545,0.7020522677701804,0.005405679964010121,-0.7204398086473709,0.009675278534104992,1e-07,-0.01034863036564976,1.3217558399823195,0.0015320433653814843,1.1136896407171375e-07,0.16666666666631363,0.009259259259220031,81.0,6.0,1e-10,1e-10
79,CURUGUATY,14.611880027325563,416.4665182202748,0.8868363839842217,0.9469979576336915,0.006966328573454861,-0.6627982775361605,0.0068936640710265396,1e-07,-0.00480238328182681,0.4807481685287127,8.345710153491292e-05,4.1893345274362635e-09,0.07130461729161042,0.0035937500000008363,65.0,2.0,1e-10,1e-10
80,PUERTO PINASCO,119.28929069366538,31883.007836452492,0.10484319011658473,0.6203398225277688,0.0015030077013952839,-0.21856663434513,0.03511555943612232,1e-07,-0.010943191902347488,1e-08,0.0022168484852156107,1.422910611610122e-07,1e-07,1e-07,95.0,2.0,1e-10,1e-10
81,TEBICUARY,49.77832791671744,306.9605813677443,-0.1635865405735133,0.916665587142511,0.00640368766053865,-0.9111438810859963,0.057174369055019936,1e-07,-0.019138244722103112,1.9459101490553135,0.0006832369911213891,1.98161875599033e-08,1e-07,1e-07,89.0,4.0,1e-10,1e-10
82,CORONEL MARTINEZ,33.01732937900542,34.37120076972814,-0.027777777777777613,0.9461507524146194,0.006107095922377773,-0.8814833843698214,0.04749397821825163,1e-07,-0.01629767264222384,0.5108256237659907,0.00443672839506173,3.659954990723476e-08,1e-07,1e-07,92.0,1.0,1e-10,1e-10
83,SAN LAZARO,20.8701745238859,145.18856306395156,-0.3558506437697972,0.9452906128388848,0.001370847627161643,-0.20112429678225477,0.04067759133837112,1e-07,-0.005484299491027454,1e-08,0.0008625430090924749,2.918233591988209e-09,1e-07,1e-07,95.0,1.0,1e-10,1e-10
