,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
98,NARANJAL,25.193182535266214,201.80270052200774,-0.25268895785353446,0.9800714622467667,0.015341005941570477,0.6036868617193996,0.021283081052188235,1e-07,-0.0017631319016644634,1e-08,5.4738276171181015e-06,5.1625894310671955e-12,0.054944750255506825,0.0027022859780835174,101.0,0.0,1e-10,1e-10
99,KATUETE,41.013136163650074,1225.1231865869568,0.6153902157352984,0.8548715338780117,0.0052623737703876615,-0.804945413065767,0.030646352867049642,1e-07,-0.012186820878567897,1.252762968495368,0.00010140202068792723,6.298811179536896e-09,0.047065927966094705,0.0008752679320097267,165.0,8.0,1e-10,1e-10
100,SAN PEDRO DEL PARANA,3.056536981325148,0.00028326296258348807,0.7070589677211788,0.9646069680024351,0.054426229209340475,2.3240396608450413,0.0782300628216629,1e-07,-0.01229760571974107,0.3364722366212129,7.703345140999503e-05,8.690642435732581e-10,0.22772385309809096,0.013257921919290353,20.0,9.0,1e-10,1e-10
101,CARLOS ANTONIO LOPEZ,7.173755925799034,6.312639590766421,-0.6296662384808073,0.9018529312073437,0.05065579043524359,1.7101908198514062,0.01171381485666878,1e-07,-0.0066195710992311245,0.916290731874155,0.0001422371834200485,3.4278287766338266e-09,0.186185858159859,0.019479424277567402,29.0,11.0,1e-10,1e-10
102,EDELIRA,4.120006109644088,6.6561221469032626e-06,0.8597708195664269,0.9394367327041772,0.05605684398403911,2.073372808245679,0.03134430036438218,1e-07,-0.00903160467602612,0.8472978603872037,0.00022696910201569585,2.9903063709045844e-09,0.20801019877787308,0.011061847528278839,29.0,15.0,1e-10,1e-10
103,HOHENAU,8.700956262802237,6.1121872248851865,-0.19290168423668017,0.8394785187326138,0.03011256492760744,0.9921641963638489,0.05192887875295937,1e-07,-0.01732503756174308,0.6257058997644128,0.0003603926208660066,5.730726000156692e-09,0.19609951203544979,0.01707239646099519,30.0,15.0,1e-10,1e-10
104,SAN IGNACIO,5.540997839831271,12.158679448312673,0.24933196692872678,0.7981912577920429,0.027961377883510892,0.6921420615965403,0.0293964199668435,1.0,-0.008884027586922527,0.8754687373538999,0.0002953838467418362,4.335490264347733e-09,0.14375250734171313,0.008587855823289359,25.0,4.0,1e-10,1e-10
105,ABAI,4.330970552212669,2.2962912793389734,0.10164156546688505,0.9250369152785362,0.05587979807582364,2.1388050409308628,0.02516406465247234,1e-07,-0.01293718229429688,0.8472978603872037,0.0001123232486634091,4.15635953726617e-09,0.20685054828651694,0.011687803052564002,29.0,13.0,1e-10,1e-10
106,CAPIIBARY,12.459583331609053,71.90865740249798,0.25548987326807304,0.6790173091379358,0.017460583107895434,0.2711022501105949,0.038336776701142994,1e-07,-0.014993660499179964,1e-08,0.0012841903289411178,1.9650667959244674e-08,0.07137539009891136,0.002118902043518788,61.0,6.0,1e-10,1e-10
107,CARAGUATAY,16.565883338088685,144.5608769321806,0.25360641251071064,0.6317837157995256,0.005751942852248998,-0.4547809707045856,0.049864127078312004,1e-07,-0.016904090451726066,1.289667525430819,2.20744658794032e-05,1.604859694504683e-08,0.049738789817589085,0.0010604223124588323,155.0,2.0,1e-10,1e-10
108,CORPUS CHRISTI,17.822533023572706,98.88875329070906,0.19933123317545515,0.7719492145727012,0.011990348636832003,-0.40500780906626654,0.0023061884557834533,1e-07,-0.0035957990952783497,1.0704414117014134,0.0005715826046582056,1.1351834888732793e-08,0.04979047360901352,0.0021836424147592473,100.0,8.0,1e-10,1e-10
109,RAUL ARSENIO OVIEDO,8.940615386611105,26.91949978020211,0.036549398398379354,0.8682213946984262,0.02284520130202167,0.9232394603873355,0.005879284687023922,1e-07,-0.0032246548352676497,0.7472144018302211,0.0007414267942694613,1.5779608909583432e-09,0.11664259820977313,0.005218593967218297,31.0,5.0,1e-10,1e-10
110,TOMAS ROMERO PEREIRA,6.291759430315719,47.12384940671569,0.2860788287294954,0.5881537293652476,0.010863697100446922,0.3070945971236514,0.014288969787037087,1.0,-0.003692543809042163,0.4340384805522204,4.876980897969254e-06,1.496451352219619e-08,0.04624646083232409,0.0015990893857984563,144.0,2.0,1e-10,1e-10
111,TRINIDAD,23.52959242436657,281.3170649697823,-0.39281490133459057,0.9551004457969996,0.014544581979735452,0.4786432216784288,0.005803188648701552,1e-07,-0.0018126754753355566,1e-08,2.026569192904548e-05,5.5307867059693835e-11,0.05695595400555123,0.0021902075032192714,99.0,2.0,1e-10,1e-10
112,YEGROS,14.935316455847689,0.006970204189724008,-0.1111111111111152,0.9216083209159391,0.05038212121085539,1.9243965072657014,0.04622834214865068,1e-07,-0.011980896879820919,1e-08,1.5740419576888117e-05,5.601754038579127e-09,0.17984190800720246,0.027510976132974957,29.0,8.0,1e-10,1e-10
113,CARAYAO,17.162957228697998,241.72440511165976,0.3532879968966062,0.6581821413070372,0.008105803366655652,-0.44139104016522424,0.02941410068160666,1e-07,-0.01667884779595393,1.2039728043259361,0.0017331864624817739,1.3507648751196838e-08,0.0339610932729507,0.0007833456328153626,44.0,6.0,1e-10,1e-10
114,CORONEL BOGADO,6.107442242431663,6.446665621090218,0.13460466084714465,0.8130564622812944,0.03001609825348768,0.9048944748916702,0.039261726250159334,1.0,-0.011325908662903183,0.3491842722095748,0.0006448069343339033,5.873237329191212e-09,0.16032231182104817,0.013260295730312828,31.0,15.0,1e-10,1e-10
115,DR. MOISES BERTONI,18.628912071535023,1e-07,1e-08,0.9705415269959373,0.040602764872266786,1.5684472050180336,0.045391950487107424,1e-07,-0.005622172767287644,1e-08,2.5860636314330857e-05,1.14086372997559e-10,0.13479740536525225,0.004645382458035176,40.0,7.0,1e-10,1e-10
116,ESCOBAR,13.466354741089523,17.976107255586577,-0.20736622419633854,0.6811849595405541,0.011694526047418054,0.031070388498699898,0.0204084409104347,1e-07,-0.007386724489173113,0.665748206371831,0.000565424324124108,1.0815632651619911e-08,0.0706771930086928,0.0022526375529130934,95.0,6.0,1e-10,1e-10
117,GENERAL FRANCISCO CABALLERO ALVAREZ,9.126585744273067,1e-07,1e-08,0.9682525199229088,0.05557580015901287,2.309939676563672,0.03861277995137247,1e-07,-0.007510441697166313,1e-08,5.681905991003168e-05,5.246405519045385e-10,0.20030982673833964,0.010258005335212093,29.0,8.0,1e-10,1e-10
118,GUAYAIBI,16.187631771806778,241.715539247042,0.5360315697954501,0.7741595954107743,0.006763714390706103,-0.3916969859613307,0.0557426259589443,1e-07,-0.015938088043163066,0.8472978603872037,0.0004941142642852393,7.336245898707984e-09,0.033814506501948616,0.0004926438304032666,162.0,4.0,1e-10,1e-10
119,JUAN EULOGIO ESTIGARRIBIA,6.4101721429830025,31.80815208525925,0.5134528198665559,0.574253690367656,0.01374549591518323,0.11470955097025527,0.016552395607295822,2.0,-0.006334636553332566,0.9694005571881036,0.0008666221211418735,1.052045123520829e-08,0.03291064217512385,0.0008510271125654062,44.0,2.0,1e-10,1e-10
120,MAURICIO JOSE TROCHE,13.562404493233599,60.59706565917023,-0.15101766120554702,0.6023735216297669,0.010573035491334532,-0.10409738401368457,0.05619407938275778,1e-07,-0.011132245164808319,0.651761964397091,0.001036340868600236,1.6904997047303204e-08,0.04300144846983561,0.0008222756493107336,100.0,7.0,1e-10,1e-10
121,NUEVA LONDRES,23.917060179885123,56.46641569108957,-0.009271200810760544,0.9286893620006604,0.016725443979735966,0.415607355231416,0.0054265154080634925,1e-07,-0.002153575565148742,0.5108256237659907,8.763987121700645e-05,2.314543954141633e-10,0.0595032092405085,0.0009051888362164779,136.0,2.0,1e-10,1e-10
122,SANTA ELENA,25.967935507933685,271.03095028568833,0.10875403887386949,0.7195820475628214,0.005468802292850448,-0.6077325607666972,0.021960402550330937,1e-07,-0.010207661716144251,0.40761333664645394,4.893936443650542e-05,1.3164537992631641e-08,0.1379198546906246,0.007199240577551751,162.0,2.0,1e-10,1e-10
123,COLONIA INDEPENDENCIA,6.752365841668923,18.495859647643435,0.38931413847710544,0.7785032999705743,0.025877337443104158,0.6557641369397,0.05219013125379435,1e-07,-0.015304959346122445,0.5179430915348547,0.0001396210125547765,3.2479797938311274e-09,0.08838176780364243,0.004538198819313931,30.0,5.0,1e-10,1e-10
124,LA PAZ,30.012004801920767,1e-07,1e-08,0.9775719972856382,0.024776668653648373,0.9500256268747059,0.042221906554407496,1e-07,-0.0031738766312497807,1e-08,3.5741051553153296e-06,1.489265835639043e-11,0.08218897468298597,0.001726972950226518,31.0,0.0,1e-10,1e-10
125,NUEVA COLOMBIA,46.36031778170198,883.0500278907072,0.21431111474042472,0.7192806950735589,0.003997500170544254,-0.5248568702375427,0.01938713547279869,1e-07,-0.012859382788995549,0.9614111671546247,3.78112105013687e-05,1.1495601003500246e-08,0.04735593263414842,0.0024767548932413635,171.0,2.0,1e-10,1e-10
126,SAN MIGUEL,21.838229318583334,56.52321962148945,-0.280060489186214,0.6756119758928476,0.009509028724715218,0.014276220416630226,0.02255916093331689,1e-07,-0.010432743552898065,0.8649974374866046,0.00023171495128699928,1.4114397646562383e-08,0.037869816259961914,0.0004715989478878839,101.0,4.0,1e-10,1e-10
127,SANTA ROSA DEL MONDAY,34.10858251088685,1107.0853046324369,-0.265016770607416,0.7833136205544067,0.015818468802079877,0.48266036515901817,0.021512742685837694,1e-07,-0.00521972097653327,1e-08,0.0003257474154697074,5.851406872776023e-09,0.055211053316082975,0.0007793104060654763,136.0,1.0,1e-10,1e-10
128,VAQUERIA,9.708140530276903,8.032112439078603,-0.18282858427125595,0.8989897380361596,0.04479341448952502,1.499225804482352,0.05528892863754631,1e-07,-0.012312284208003128,1.2039728043259361,0.00013305570885540564,2.6897231734095727e-09,0.15092377513219835,0.018489425353499338,28.0,9.0,1e-10,1e-10
129,YATAITY,31.43341231446662,117.94160613844107,-0.24970936315084866,0.8471161935441929,0.008490699120870455,-0.29354462297497913,0.04134543088758402,1e-07,-0.01144162740961387,1.1631508098056809,0.0001289781423528944,3.6039375901441586e-09,0.02970415162413531,0.00029014877259028694,56.0,5.0,1e-10,1e-10
130,ITAPE,16.40067374745553,31.58126857568391,-0.034401671652743604,0.7961392192702699,0.012996866862792498,0.004886057054029523,0.041778152127509904,1e-07,-0.008443172156098001,0.6931471805599453,0.00025419514962075126,3.7167512804976632e-09,0.06421231073019468,0.0022895293062733064,40.0,6.0,1e-10,1e-10
131,SANTA ROSA DEL AGUARAY,17.443157366816497,629.4887430587382,0.6306718339264069,0.7489677347963587,0.006724342915810189,-0.40709623280419327,0.016217218538115086,1.0,-0.009656454008070284,0.47619012710323433,0.00021069265716213914,6.2169481549908095e-09,0.02519588885092717,0.0003978797488500654,145.0,6.0,1e-10,1e-10
132,FELIX PEREZ CARDOZO,23.110491349930935,108.64032343064106,0.0611554370506548,0.8597371472011436,0.012861514150949403,-0.11051083112601498,0.013615316404046118,1e-07,-0.00577334958159063,1.0216512475319814,0.0002064929115467997,4.008102640323802e-09,0.04490505742429539,0.0007049445167299802,103.0,5.0,1e-10,1e-10
133,GENERAL ARTIGAS,12.170503512071548,126.7618477903934,-0.1766134832578625,0.45956499158565,0.015463953207859635,0.3292851155808233,0.026642659573834715,1e-07,-0.007753702042351624,0.916290731874155,0.0009368806964543818,1.7047050400832696e-08,0.06385887839796772,0.00246691014529908,100.0,2.0,1e-10,1e-10
134,JUAN MANUEL FRUTOS,4.396617235947965,0.0004897301726391983,-0.2500000000000094,0.959416198176276,0.055534932075068724,2.3226541123927493,0.04219818367480577,1e-07,-0.008742583128952316,1e-08,6.215649311603626e-05,1.5504850833160675e-09,0.20030982673833964,0.010258005335212185,29.0,9.0,1e-10,1e-10
