,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
158,"LAMBAYEQUE, CHICLAYO, PUCALA",0,4,0
159,"LAMBAYEQUE, CHICLAYO, REQUE",0,4,1
160,"LAMBAYEQUE, CHICLAYO, SAÑA",0,4,0
161,"LAMBAYEQUE, CHICLAYO, TUMAN",0,4,0
162,"LAMBAYEQUE, FERREÑAFE, FERREÑAFE",0,4,1
163,"LAMBAYEQUE, FERREÑAFE, PITIPO",0,4,1
164,"LAMBAYEQUE, LAMBAYEQUE, CHOCHOPE",0,4,0
165,"LAMBAYEQUE, LAMBAYEQUE, ILLIMO",0,4,0
166,"LAMBAYEQUE, LAMBAYEQUE, JAYANCA",0,4,0
167,"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",0,4,0
168,"LAMBAYEQUE, LAMBAYEQUE, MOCHUMI",0,4,0
169,"LAMBAYEQUE, LAMBAYEQUE, MORROPE",0,4,0
170,"LAMBAYEQUE, LAMBAYEQUE, MOTUPE",0,4,0
171,"LAMBAYEQUE, LAMBAYEQUE, OLMOS",0,4,0
172,"LAMBAYEQUE, LAMBAYEQUE, PACORA",0,4,1
173,"LAMBAYEQUE, LAMBAYEQUE, SALAS",0,4,0
174,"LAMBAYEQUE, LAMBAYEQUE, TUCUME",0,4,1
175,"LIMA, LIMA, ATE",0,4,1
176,"LIMA, LIMA, CARABAYLLO",0,4,1
177,"LIMA, LIMA, CHORRILLOS",0,4,1
178,"LIMA, LIMA, COMAS",0,4,0
179,"LIMA, LIMA, INDEPENDENCIA",0,4,1
180,"LIMA, LIMA, LA VICTORIA",0,4,1
181,"LIMA, LIMA, LIMA",0,4,1
182,"LIMA, LIMA, LOS OLIVOS",0,4,1
183,"LIMA, LIMA, LURIGANCHO",0,4,-1
184,"LIMA, LIMA, PUCUSANA",0,4,0
185,"LIMA, LIMA, PUEBLO LIBRE",0,4,1
186,"LIMA, LIMA, PUENTE PIEDRA",0,4,0
187,"LIMA, LIMA, RIMAC",0,4,1
188,"LIMA, LIMA, SAN ISIDRO",0,4,1
189,"LIMA, LIMA, SAN JUAN DE LURIGANCHO",0,4,1
190,"LIMA, LIMA, SAN JUAN DE MIRAFLORES",0,4,1
191,"LIMA, LIMA, SAN MARTIN DE PORRES",0,4,0
192,"LIMA, LIMA, SANTIAGO DE SURCO",0,4,1
193,"LIMA, LIMA, VILLA MARIA DEL TRIUNFO",0,4,0
194,"LORETO, ALTO AMAZONAS, BALSAPUERTO",0,4,1
195,"LORETO, ALTO AMAZONAS, LAGUNAS",0,4,0
196,"LORETO, ALTO AMAZONAS, SANTA CRUZ",0,4,0
197,"LORETO, ALTO AMAZONAS, TENIENTE CESAR LOPEZ ROJAS",0,4,0
198,"LORETO, ALTO AMAZONAS, YURIMAGUAS",0,4,0
199,"LORETO, DATEM DEL MARAÑON, ANDOAS",0,4,0
200,"LORETO, DATEM DEL MARAÑON, BARRANCA",0,4,0
201,"LORETO, DATEM DEL MARAÑON, MANSERICHE",0,4,0
202,"LORETO, DATEM DEL MARAÑON, PASTAZA",0,4,1
203,"LORETO, LORETO, NAUTA",0,4,0
204,"LORETO, LORETO, PARINARI",0,4,0
205,"LORETO, LORETO, TIGRE",0,4,0
206,"LORETO, LORETO, TROMPETEROS",0,4,0
207,"LORETO, LORETO, URARINAS",0,4,0
208,"LORETO, MARISCAL RAMON CASTILLA, RAMON CASTILLA",4,0,0
209,"LORETO, MARISCAL RAMON CASTILLA, SAN PABLO",0,4,0
210,"LORETO, MARISCAL RAMON CASTILLA, YAVARI",0,4,1
211,"LORETO, MAYNAS, ALTO NANAY",0,4,0
212,"LORETO, MAYNAS, BELEN",0,4,0
213,"LORETO, MAYNAS, FERNANDO LORES",0,4,0
214,"LORETO, MAYNAS, INDIANA",0,4,0
215,"LORETO, MAYNAS, IQUITOS",0,4,0
216,"LORETO, MAYNAS, LAS AMAZONAS",0,4,1
217,"LORETO, MAYNAS, MAZAN",0,4,0
218,"LORETO, MAYNAS, NAPO",0,4,0
219,"LORETO, MAYNAS, PUNCHANA",0,4,0
220,"LORETO, MAYNAS, SAN JUAN BAUTISTA",0,4,0
221,"LORETO, MAYNAS, TORRES CAUSANA",0,4,0
222,"LORETO, PUTUMAYO, PUTUMAYO",0,4,0
223,"LORETO, PUTUMAYO, TENIENTE MANUEL CLAVERO",0,4,1
224,"LORETO, REQUENA, ALTO TAPICHE",0,4,0
225,"LORETO, REQUENA, EMILIO SAN MARTIN",0,4,1
226,"LORETO, REQUENA, JENARO HERRERA",0,4,0
227,"LORETO, REQUENA, MAQUIA",0,4,1
228,"LORETO, REQUENA, PUINAHUA",0,4,-1
229,"LORETO, REQUENA, REQUENA",0,4,0
230,"LORETO, REQUENA, SAQUENA",0,4,0
231,"LORETO, REQUENA, SOPLIN",0,4,0
232,"LORETO, REQUENA, YAQUERANA",0,4,0
233,"LORETO, UCAYALI, CONTAMANA",0,4,0
234,"LORETO, UCAYALI, PADRE MARQUEZ",0,4,0
235,"LORETO, UCAYALI, SARAYACU",0,4,1
236,"MADRE DE DIOS, MANU, HUEPETUHE",0,4,0
237,"MADRE DE DIOS, MANU, MADRE DE DIOS",0,4,0
238,"MADRE DE DIOS, TAHUAMANU, IBERIA",0,4,0
239,"MADRE DE DIOS, TAHUAMANU, IÑAPARI",0,4,0
240,"MADRE DE DIOS, TAHUAMANU, TAHUAMANU",0,4,0
241,"MADRE DE DIOS, TAMBOPATA, INAMBARI",0,4,0
242,"MADRE DE DIOS, TAMBOPATA, LABERINTO",0,4,0
243,"MADRE DE DIOS, TAMBOPATA, LAS PIEDRAS",0,4,0
244,"MADRE DE DIOS, TAMBOPATA, TAMBOPATA",0,4,0
245,"PASCO, OXAPAMPA, CONSTITUCION",0,4,0
246,"PASCO, OXAPAMPA, OXAPAMPA",0,4,0
247,"PASCO, OXAPAMPA, PALCAZU",0,4,0
248,"PASCO, OXAPAMPA, POZUZO",0,4,1
249,"PASCO, OXAPAMPA, PUERTO BERMUDEZ",0,4,0
250,"PASCO, OXAPAMPA, VILLA RICA",0,4,0
251,"PIURA, AYABACA, AYABACA",0,4,0
252,"PIURA, AYABACA, FRIAS",0,4,1
253,"PIURA, AYABACA, JILILI",0,4,0
254,"PIURA, AYABACA, PACAIPAMPA",0,4,1
255,"PIURA, AYABACA, PAIMAS",0,4,0
256,"PIURA, AYABACA, SAPILLICA",0,4,1
257,"PIURA, AYABACA, SUYO",0,4,0
258,"PIURA, HUANCABAMBA, CANCHAQUE",0,4,0
259,"PIURA, HUANCABAMBA, EL CARMEN DE LA FRONTERA",0,4,1
260,"PIURA, HUANCABAMBA, HUANCABAMBA",0,4,0
261,"PIURA, HUANCABAMBA, HUARMACA",0,4,0
262,"PIURA, HUANCABAMBA, LALAQUIZ",0,4,0
263,"PIURA, HUANCABAMBA, SAN MIGUEL DE EL FAIQUE",0,4,0
264,"PIURA, HUANCABAMBA, SONDOR",0,4,1
265,"PIURA, HUANCABAMBA, SONDORILLO",0,4,0
266,"PIURA, MORROPON, BUENOS AIRES",0,4,0
267,"PIURA, MORROPON, CHALACO",0,4,0
268,"PIURA, MORROPON, CHULUCANAS",0,4,0
269,"PIURA, MORROPON, LA MATANZA",0,4,0
270,"PIURA, MORROPON, MORROPON",0,4,0
271,"PIURA, MORROPON, SALITRAL",0,4,0
272,"PIURA, MORROPON, SAN JUAN DE BIGOTE",0,4,0
273,"PIURA, MORROPON, SANTA CATALINA DE MOSSA",0,4,0
274,"PIURA, MORROPON, SANTO DOMINGO",0,4,1
275,"PIURA, MORROPON, YAMANGO",0,4,0
276,"PIURA, PAITA, AMOTAPE",0,4,0
277,"PIURA, PAITA, ARENAL",0,4,0
278,"PIURA, PAITA, COLAN",0,4,0
279,"PIURA, PAITA, LA HUACA",0,4,0
280,"PIURA, PAITA, PAITA",0,4,0
281,"PIURA, PAITA, TAMARINDO",0,4,0
282,"PIURA, PAITA, VICHAYAL",0,4,0
283,"PIURA, PIURA, CASTILLA",0,4,0
284,"PIURA, PIURA, CATACAOS",0,4,0
285,"PIURA, PIURA, CURA MORI",0,4,0
286,"PIURA, PIURA, EL TALLAN",0,4,0
287,"PIURA, PIURA, LA ARENA",0,4,0
288,"PIURA, PIURA, LA UNION",0,4,0
289,"PIURA, PIURA, LAS LOMAS",0,4,0
290,"PIURA, PIURA, PIURA",0,4,0
291,"PIURA, PIURA, TAMBO GRANDE",0,4,0
292,"PIURA, PIURA, VEINTISEIS DE OCTUBRE",0,4,0
293,"PIURA, SECHURA, BELLAVISTA DE LA UNION",0,4,0
294,"PIURA, SECHURA, BERNAL",0,4,0
295,"PIURA, SECHURA, CRISTO NOS VALGA",0,4,0
296,"PIURA, SECHURA, RINCONADA LLICUAR",0,4,0
297,"PIURA, SECHURA, SECHURA",0,4,0
298,"PIURA, SECHURA, VICE",0,4,0
299,"PIURA, SULLANA, BELLAVISTA",0,4,0
300,"PIURA, SULLANA, IGNACIO ESCUDERO",0,4,0
301,"PIURA, SULLANA, LANCONES",3,1,0
302,"PIURA, SULLANA, MARCAVELICA",0,4,0
303,"PIURA, SULLANA, MIGUEL CHECA",0,4,0
304,"PIURA, SULLANA, QUERECOTILLO",0,4,0
305,"PIURA, SULLANA, SALITRAL",0,4,0
306,"PIURA, SULLANA, SULLANA",0,4,0
307,"PIURA, TALARA, EL ALTO",0,4,0
