anio;semana;distrito_notif;tmax;tmin;tmed;td;pres_est;pres_nm;prcp;hr;helio;nub;vmax_d;vmax_f;vmed;id_estacion;casos
2009;8;CONCEPCION;33.26666667;20.06666667;24.5;20.36666667;999.2333333;1007.766667;4.266666667;80.66666667;8.766666667;2.333333333;??;??;??;86134;3
2009;8;CORONEL OVIEDO;29.69166667;20.53333333;24.18333333;21.04166667;??;??;12.51666667;84.91666667;6.891666667;4.5;??;??;??;86234;12
2009;8;FERNANDO DE LA MORA;32.25;20.975;26.2625;20.825;998.625;1008.0125;1.725;74.5625;8.86875;3.8125;??;??;??;86218;16
2009;8;GUARAMBARE;30;22.9;25.6;22.9;1000.9;1010.3;0;85;4;7;??;??;??;86218;1
2009;8;HERNANDARIAS;33.2;22;26.8;23;982.7;1010.7;0.1;82;8;6;??;??;??;86246;1
2009;8;HORQUETA;33.02857143;21.82;26.22571429;21.96285714;999.7142857;1008.765714;1.748571429;80;6.891428571;4.628571429;??;??;??;86134;35
2009;8;ITA;31.2;22.26666667;25.33333333;22.3;997.4333333;1012.933333;29.33333333;84.33333333;4.733333333;5.666666667;??;??;??;86221;3
2009;8;ITAUGUA;31.13333333;21.28333333;25.55;21.23333333;999.5;1008.9;2.3;79.33333333;7.25;4.333333333;??;??;??;86218;6
2009;8;J A SALDIVAR;29.3;21.4;24.15;20.8;1001.45;1010.95;6.9;85;5.95;4.5;??;??;??;86218;2
2009;8;LAMBARE;32.66666667;22.8;27.03333333;22.36666667;998.8666667;1008.233333;18.36666667;78;8.9;5;??;??;??;86218;6
2009;8;LUQUE;32.5;19.8;25.95;20.3;997.6;1006.95;0;73;9.95;2.5;??;??;??;86218;2
2009;8;MARIANO ROQUE ALONSO;33.2;22.4;27.5;22.3;998;1007.3;0;75;7.7;5;??;??;??;86218;2
2009;8;PEDRO JUAN CABALLERO;30.62857143;19;24.05;19.3;947.3428571;1008.421429;0;76.64285714;9.657142857;3.5;??;??;??;86097;14
2009;8;SAN JOSE DE LOS ARROYOS;32.2;16.6;24;19.4;??;??;0;78;11.8;1;??;??;??;86234;1
2009;8;SAN LORENZO;32.68;23.76;??;??;??;??;0;??;6.42;??;??;??;??;86185;5
2009;8;VILLA ELISA;31.8;22.05;26.55;21.7;999.7;1009.1;0;76.5;7.4;5.5;??;??;??;86218;2
