#,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gral. Isidoro Resquin,23880.00161,24041.16135,24185.3885,24315.7998,24433.59464,24540.90631,24636.80818,24725.09161,24804.84963,24877.81313,24945.14319,25006.23824,25060.32602,25108.43529,25151.32801,25186.0853,25215.60937,25237.59456,25253.1292,25263.233,25264.95752,25261.44865,25250.90603,25235.06386,25213.83469,25187.44352
Yataity del Norte,13530.19456,13530.16602,13520.0144,13501.67126,13475.96156,13444.20211,13406.01156,13363.57049,13316.48033,13265.76144,13212.10578,13155.26043,13094.89136,13031.60843,12965.86959,12896.23547,12824.26769,12748.85583,12670.62249,12590.14099,12506.00533,12419.84494,12330.83056,12239.87061,12146.972,12052.29114
Guayaibi,25525.71177,25889.54463,26239.18095,26577.66125,26906.01041,27226.32371,27537.34238,27843.08565,28142.36594,28436.97726,28728.11345,29014.9607,29296.48267,29573.73438,29847.48837,30114.14054,30376.99235,30633.12609,30883.68768,31129.77591,31367.59787,31600.87142,31827.19532,32048.58622,32264.79319,32475.96197
Capiibary,25871.1121,26840.05497,27823.70321,28825.08943,29845.28289,30886.64968,31947.86141,33033.70753,34143.07414,35278.41027,36441.59658,37632.04215,38848.76473,40093.49432,41367.68527,42666.68668,43995.38941,45349.8865,46732.03622,48143.75776,49579.37809,51044.81868,52536.40349,54057.55015,55608.04466,57188.32282
Santa Rosa del Aguaray,20188.97474,21092.02224,22018.08718,22969.90019,23948.68019,24956.71811,25993.35282,27062.90367,28164.92784,29301.91786,30475.9427,31687.03238,32934.8723,34221.43436,35548.49629,36912.57971,38318.40941,39763.10482,41248.77605,42777.62851,44345.1145,45956.98667,47610.43142,49309.01168,51053.02785,52843.36527
Yrybucua,10358.77668,10641.57371,10923.97914,11207.13856,11491.39903,11777.58977,12065.11385,12355.68648,12648.77151,12945.16116,13245.41218,13549.1712,13855.95918,14166.2744,14480.50108,14796.89323,15117.04888,15439.51396,15764.83383,16093.55623,16423.69602,16757.14762,17092.61752,17431.14779,17772.58543,18116.99095
Liberacion,18854.46605,19202.81934,19543.19323,19877.74689,20207.16322,20532.94443,20854.07846,21173.55068,21490.42079,21806.01966,22121.23838,22435.43059,22747.76697,23059.03411,23369.81228,23677.24883,23983.89719,24287.42264,24588.68575,24888.52556,25183.86707,25477.64043,25767.8706,26056.14202,26342.21427,26626.16724
Dpto. Cordillera,242141,244883.1258,247657.5258,250487.0315,253389.0331,256359.667,259410.8754,262558.4398,265815.2974,269173.6582,272637.3421,276192.8402,279859.5781,283602.1037,287419.5901,291311.2391,295256.2036,299233.9351,303242.4534,307255.9468,311272.6139,315244.7225,319176.4478,323040.1365,326842.4919,330537.611
Caacupe,43431.59436,44009.70304,44594.17735,45189.12295,45797.67315,46419.15883,47055.74405,47710.31916,48385.25898,49079.17633,49792.78645,50523.63844,51275.30027,52041.27691,52821.40063,53615.4971,54419.70842,55230.18661,56046.51108,56863.84179,57681.76297,58491.32978,59293.2016,60082.12229,60859.21385,61615.79577
Altos,11953.18133,12065.76222,12178.97828,12293.92915,12411.44046,12531.28937,12654.02751,12780.38654,12910.95414,13045.30682,13183.58553,13325.09258,13470.72045,13618.71818,13769.00842,13921.51608,14075.20882,14229.08034,14383.013,14535.76343,14687.234,14835.16745,14979.76672,15119.74382,15255.42906,15384.70222
Arroyos y Esteros,19626.59973,19872.5613,20120.88884,20373.42502,20631.58507,20895.04811,21164.79114,21442.10252,21728.04718,22021.99543,22324.26605,22633.75688,22952.06176,23276.27645,23606.32977,23942.15267,24282.02569,24624.24955,24968.64947,25313.08738,25657.40037,25997.63667,26334.12112,26664.55266,26989.46579,27305.04928
Atyra,13811.2416,13954.5711,14098.88531,14245.46416,14395.27625,14548.07573,14704.51753,14865.46833,15031.63112,15202.53334,15378.35914,15558.3144,15743.46113,15931.77228,16123.1735,16317.59176,16513.83309,16710.72592,16908.1421,17104.62747,17300.07205,17491.81736,17680.09921,17863.39227,18042.08004,18213.64402
Caraguatay,12118.63272,12190.5832,12262.50554,12335.50014,12410.3789,12486.89689,12565.58235,12647.13384,12732.09849,12820.0218,12911.00818,13004.34184,13100.86319,13198.83896,13298.17602,13398.78458,13499.65791,13599.82795,13699.1866,13796.55879,13891.86963,13983.00964,14070.20978,14152.3025,14229.64642,14300.31748
Emboscada,12334.21043,12624.51681,12921.16298,13225.45595,13538.47114,13860.17838,14191.40592,14533.2254,14886.59377,15251.32945,15627.89937,16015.77802,16416.33724,16827.74989,17250.17173,17683.76209,18127.44459,18580.11158,19041.75908,19510.86638,19987.38104,20468.26533,20953.74919,21441.96089,21933.25006,22424.4177
Eusebio Ayala,18522.2762,18769.81585,19020.16188,19275.06561,19535.86391,19802.27113,20075.21056,20355.91482,20645.3974,20943.06643,21249.22734,21562.83414,21885.40876,22214.17948,22549.0738,22890.0177,23235.36159,23583.46357,23934.14108,24285.32504,24636.83491,24984.8484,25329.64339,25668.97092,26003.30527,26328.93418
Isla Pucu,6946.738895,6993.508107,7040.355014,7087.91274,7136.648627,7186.425834,7237.549722,7290.426406,7345.374515,7402.135879,7460.774022,7520.878619,7582.939133,7645.954668,7709.872607,7774.641371,7839.678068,7904.418512,7968.798457,8032.131753,8094.371027,8154.281866,8211.99208,8266.812895,8318.945656,8367.256439
Itacurubi de la Cordillera,11321.82087,11303.18372,11284.11604,11265.63373,11248.45564,11232.33515,11217.71557,11205.18185,11195.16346,11187.2035,11181.34065,11176.90761,11174.5851,11172.85079,11171.60762,11170.76161,11169.46727,11166.93014,11163.08615,11157.00906,11148.68438,11136.47688,11120.65304,11100.37532,11076.02179,11046.1959
Juan de Mena,5703.606103,5757.951184,5812.617708,5868.132537,5924.895002,5982.800778,6042.119295,6103.204305,6166.343029,6231.33946,6298.267776,6366.801386,6437.373455,6509.154872,6582.115756,6656.227591,6731.003992,6805.97078,6881.078673,6955.739797,7029.914308,7102.527899,7173.683572,7242.769972,7309.950805,7374.214341
Loma Grande,2977.42991,3002.954079,3028.595265,3054.627396,3081.256908,3108.427963,3136.27874,3164.990745,3194.710213,3225.332741,3256.893996,3289.222482,3322.539517,3356.414595,3390.830625,3425.771204,3460.984693,3496.226485,3531.471119,3566.417023,3601.044499,3634.804473,3667.751924,3699.576719,3730.365456,3759.605085
Mbocayaty del Yhaguy,4318.012812,4309.08974,4300.021897,4291.194315,4282.880509,4274.982826,4267.669574,4261.1605,4255.617835,4250.866051,4246.918809,4243.521266,4240.929939,4238.56689,4236.394501,4234.377708,4232.194234,4229.545171,4226.405538,4222.425077,4217.598861,4211.310068,4203.660886,4194.336441,4183.48095,4170.569393
