,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
121,"ICA, CHINCHA, SUNAMPE",0,2,0
122,"ICA, CHINCHA, TAMBO DE MORA",0,2,0
123,"ICA, ICA, ICA",0,2,0
124,"ICA, ICA, LA TINGUIÑA",0,2,0
125,"ICA, ICA, LOS AQUIJES",0,2,0
126,"ICA, ICA, OCUCAJE",0,2,0
127,"ICA, ICA, PACHACUTEC",0,2,0
128,"ICA, ICA, PARCONA",0,2,0
129,"ICA, ICA, PUEBLO NUEVO",0,2,0
130,"ICA, ICA, SALAS",0,2,0
131,"ICA, ICA, SAN JOSE DE LOS MOLINOS",0,2,0
132,"ICA, ICA, SAN JUAN BAUTISTA",0,2,0
133,"ICA, ICA, SANTIAGO",0,2,1
134,"ICA, ICA, SUBTANJALLA",0,2,0
135,"ICA, ICA, TATE",0,2,0
136,"ICA, ICA, YAUCA DEL ROSARIO",0,2,0
137,"ICA, NASCA, CHANGUILLO",0,2,0
138,"ICA, NASCA, EL INGENIO",0,2,0
139,"ICA, NASCA, MARCONA",0,2,1
140,"ICA, NASCA, NASCA",0,2,0
141,"ICA, NASCA, VISTA ALEGRE",0,2,0
142,"ICA, PALPA, LLIPATA",1,3,0
143,"ICA, PALPA, PALPA",2,1,0
144,"ICA, PALPA, RIO GRANDE",5,0,0
145,"ICA, PALPA, SANTA CRUZ",0,2,0
146,"ICA, PISCO, HUANCANO",0,2,0
147,"ICA, PISCO, HUMAY",0,2,0
148,"ICA, PISCO, INDEPENDENCIA",0,2,0
149,"ICA, PISCO, PARACAS",0,2,0
150,"ICA, PISCO, PISCO",0,2,0
151,"ICA, PISCO, SAN ANDRES",0,2,0
152,"ICA, PISCO, SAN CLEMENTE",0,2,0
153,"ICA, PISCO, TUPAC AMARU INCA",0,2,0
154,"JUNIN, CHANCHAMAYO, CHANCHAMAYO",0,2,0
155,"JUNIN, CHANCHAMAYO, PERENE",0,2,0
156,"JUNIN, CHANCHAMAYO, PICHANAQUI",0,2,0
157,"JUNIN, CHANCHAMAYO, SAN LUIS DE SHUARO",0,2,0
158,"JUNIN, CHANCHAMAYO, SAN RAMON",0,2,0
159,"JUNIN, CHANCHAMAYO, VITOC",0,2,0
160,"JUNIN, HUANCAYO, EL TAMBO",0,2,1
161,"JUNIN, HUANCAYO, SANTO DOMINGO DE ACOBAMBA",0,2,1
162,"JUNIN, HUANCAYO, SAPALLANGA",0,2,1
163,"JUNIN, JUNIN, JUNIN",0,2,1
164,"JUNIN, SATIPO, COVIRIALI",0,2,0
165,"JUNIN, SATIPO, LLAYLLA",0,2,0
166,"JUNIN, SATIPO, MAZAMARI",0,2,0
167,"JUNIN, SATIPO, PAMPA HERMOSA",0,2,0
168,"JUNIN, SATIPO, PANGOA",0,2,0
169,"JUNIN, SATIPO, RIO NEGRO",0,2,0
170,"JUNIN, SATIPO, RIO TAMBO",0,2,1
171,"JUNIN, SATIPO, SATIPO",0,2,0
172,"JUNIN, SATIPO, VIZCATAN DEL ENE",0,2,0
173,"JUNIN, YAULI, LA OROYA",0,2,1
174,"LA LIBERTAD, ASCOPE, ASCOPE",0,2,0
175,"LA LIBERTAD, ASCOPE, CASA GRANDE",0,2,0
176,"LA LIBERTAD, ASCOPE, CHICAMA",0,2,0
177,"LA LIBERTAD, ASCOPE, CHOCOPE",0,2,0
178,"LA LIBERTAD, ASCOPE, PAIJAN",0,2,0
179,"LA LIBERTAD, ASCOPE, SANTIAGO DE CAO",0,2,0
180,"LA LIBERTAD, CHEPEN, CHEPEN",0,2,0
181,"LA LIBERTAD, CHEPEN, PACANGA",0,2,0
182,"LA LIBERTAD, CHEPEN, PUEBLO NUEVO",0,2,0
183,"LA LIBERTAD, GRAN CHIMU, CASCAS",0,2,0
184,"LA LIBERTAD, PACASMAYO, GUADALUPE",0,2,0
185,"LA LIBERTAD, PACASMAYO, JEQUETEPEQUE",0,2,0
186,"LA LIBERTAD, PACASMAYO, PACASMAYO",0,2,0
187,"LA LIBERTAD, PACASMAYO, SAN JOSE",0,2,0
188,"LA LIBERTAD, PACASMAYO, SAN PEDRO DE LLOC",0,2,0
189,"LA LIBERTAD, PATAZ, PATAZ",0,2,0
190,"LA LIBERTAD, SANCHEZ CARRION, COCHORCO",0,2,0
191,"LA LIBERTAD, TRUJILLO, EL PORVENIR",0,2,0
192,"LA LIBERTAD, TRUJILLO, FLORENCIA DE MORA",0,2,0
193,"LA LIBERTAD, TRUJILLO, HUANCHACO",0,2,0
194,"LA LIBERTAD, TRUJILLO, LA ESPERANZA",0,2,0
195,"LA LIBERTAD, TRUJILLO, LAREDO",0,2,0
196,"LA LIBERTAD, TRUJILLO, MOCHE",0,2,0
197,"LA LIBERTAD, TRUJILLO, SALAVERRY",0,2,0
198,"LA LIBERTAD, TRUJILLO, TRUJILLO",0,2,0
199,"LA LIBERTAD, TRUJILLO, VICTOR LARCO HERRERA",0,2,0
200,"LA LIBERTAD, VIRU, CHAO",0,2,0
201,"LA LIBERTAD, VIRU, GUADALUPITO",0,2,1
202,"LA LIBERTAD, VIRU, VIRU",0,2,0
203,"LAMBAYEQUE, CHICLAYO, CAYALTI",0,2,0
204,"LAMBAYEQUE, CHICLAYO, CHICLAYO",0,2,0
205,"LAMBAYEQUE, CHICLAYO, CHONGOYAPE",0,2,1
