,Dep-Prov-Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KLScore,ChangeIdx,Semanas no Nulas,Semana del MAX
226,"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",0.30058314230765143,4.5708492331970545,0.5613048866297079,0.6099210921336136,0.01392319107562886,-4.03873896547131,0.35549107073113173,2.0,3.0,0.8949866692731117,178.2920785509819,0.002059530891339959,1.3173499999995064,173.54110224986832,26.0,5.0,1e-08,1e-08,14.0,53.0
227,"LAMBAYEQUE, LAMBAYEQUE, MOCHUMI",3.4002704955449254,163.82079426241404,0.5778665363432941,0.8889152436667542,0.022381633969718897,7.026139261737016,0.595460057874035,1e-07,1.0,0.7436712349413197,57809.99342799105,0.14563179846461316,4.259797534328457,1088.333912042392,10.0,2.0,1e-08,1e-08,11.0,105.0
228,"LAMBAYEQUE, LAMBAYEQUE, MORROPE",2.491010925501284,128.16983970899145,0.7027332248511009,0.7556437178701497,0.018679642390649547,-21.526371630795957,0.20838692626174193,6.0,1e-07,0.7827599577694142,51743.06644308637,1.2659692141442125,4.615149999999504,2129.960952249538,15.0,3.0,1e-08,1e-08,13.0,52.0
229,"LAMBAYEQUE, LAMBAYEQUE, MOTUPE",11.552315795345457,943.5309177836234,0.8180149405831453,0.7801184441795891,0.04394967008342855,-99.03025690621666,0.3710499613803918,1e-07,5.0,0.6991289758391166,2055086.0407202581,14.431634288873534,10.6344499999995,13284.597410915341,21.0,8.0,1e-08,1e-08,81.0,54.0
230,"LAMBAYEQUE, LAMBAYEQUE, OLMOS",4.281569612624769,239.49034627192705,0.6559711524453704,0.6635819818905946,0.03555582130830264,-49.720855347266394,0.2890974542927838,5.0,1.0,0.8024817005457868,128173.06888655982,1.7190681635495193,5.736044326197362,3155.672429137414,26.0,7.0,1e-08,1e-08,53.0,103.0
231,"LAMBAYEQUE, LAMBAYEQUE, PACORA",0.756652370152029,9.543218624944418,0.4745262459348595,0.48522960831576156,0.003807826621284899,4.455274937851739,0.4567615437585505,1e-07,1.0,0.8097458695106858,99.16180277004828,0.008089975319704514,0.6844626967825245,58.991527913932515,10.0,2.0,1e-08,1e-08,6.0,1e-07
232,"LAMBAYEQUE, LAMBAYEQUE, SALAS",1.6035039622730227,22.664857589780482,0.8003807006735405,0.9646617862375435,0.2792503043578386,-12.40723833177123,0.5068003909431762,2.0,6.0,0.7050710939342266,601.2207535758677,0.0011397583906877444,0.9442849999995055,29.722597945570378,5.0,1e-07,1e-08,1e-08,6.0,1e-07
233,"LAMBAYEQUE, LAMBAYEQUE, SAN JOSE",0.11308993364863826,0.6650453207003607,-0.0003628447024673381,0.48635911856350433,0.055555555555555775,-0.20433410568008067,0.6700482623529178,1e-07,1.0,0.9885490910147502,0.7895771723790913,0.00012289966516456594,0.2996883241423914,8.981309162727504,5.0,1e-07,1e-08,1e-08,1.0,1e-07
234,"LAMBAYEQUE, LAMBAYEQUE, TUCUME",0.16491552973856533,0.4171735831642537,0.1641539580440494,0.28624039658942213,0.027745060834794867,-1.3875745445642642,0.3278752076542819,4.0,2.0,0.9031434825622277,0.3996879033161452,4.37059725049171e-05,0.23736599999949975,5.516881341501264,15.0,9.0,1e-08,1e-08,19.0,43.0
235,"LIMA, BARRANCA, BARRANCA",0.05004223565650861,0.06385774638676776,0.4992600813910469,0.725308038341782,0.108974358974359,0.178951763970065,0.6583558525490516,3.0,6.0,0.8941543959965703,0.007405674513531046,1.757156022033928e-07,0.06630596223162391,0.5861974169948714,5.0,1.0,1e-08,1e-08,2.0,51.0
236,"LIMA, CAÑETE, CHILCA",0.1122556195261243,0.6552688538733422,-0.00036284470246733373,0.4863591185635042,0.055555555555555435,-0.20282664321551783,0.6700482623529177,1e-07,1.0,0.9885490910147499,0.7665335199286148,0.00011931286292483184,0.2974773917177294,8.849279858318342,5.0,1e-07,1e-08,1e-08,1.0,1e-07
237,"LIMA, HUAROCHIRI, HUAROCHIRI",1.3268582650099443,91.5487484807304,-0.00036284470246732614,0.4863591185635049,0.055555555555555566,2.397405217420298,0.6700482623529177,4.0,1e-07,0.98854909101475,16658.403618413777,2.3289117862964743,3.516174402249852,1236.3482427037104,5.0,1.0,1e-08,1e-08,1.0,52.0
